unix,minute,test_progress,final_avg_TEMP,mt1_avg_TEMP,mt2_avg_TEMP
1544029200,1,0.0055555555555555,25.19785185185185,19.92329398148148,20.82115509259259
1544029260,2,0.0111111111111111,25.266120370370373,20.223136574074072,21.514351851851856
1544029320,3,0.0166666666666666,25.31765277777777,20.50640277777778,23.24545138888889
1544029380,4,0.0222222222222222,25.447310185185188,20.799078703703703,24.43411342592593
1544029440,5,0.0277777777777777,25.575127314814814,21.11441435185185,24.72421296296296
1544029500,6,0.0333333333333333,25.716972222222225,21.461409722222218,24.904041666666668
1544029560,7,0.0388888888888888,25.872091435185183,21.824696759259258,25.04867592592593
1544029620,8,0.0444444444444444,26.0643599537037,22.16560185185185,25.12442824074074
1544029680,9,0.05,26.235111111111117,22.46368055555556,25.16661805555556
1544029740,10,0.0555555555555555,26.443060185185185,22.719099537037035,25.2979537037037
1544029800,11,0.0611111111111111,26.627731481481486,22.93675462962963,25.43983101851852
1544029860,12,0.0666666666666666,26.78749652777778,23.14743055555556,25.612229166666665
1544029920,13,0.0722222222222222,26.889216435185187,23.362641203703703,25.773425925925924
1544029980,14,0.0777777777777777,26.99713425925926,23.55445601851852,25.87821296296296
1544030040,15,0.0833333333333333,27.14435069444444,23.73770138888889,25.96873611111111
1544030100,16,0.0888888888888888,27.309528935185185,23.91398148148149,26.049228009259263
1544030160,17,0.0944444444444444,27.4427662037037,24.07758796296296,26.15510532407407
1544030220,18,0.1,27.539506944444444,24.24127083333333,26.304409722222218
1544030280,19,0.1055555555555555,27.64803935185185,24.398398148148143,26.4538912037037
1544030340,20,0.1111111111111111,27.80498148148148,24.54966435185185,26.59814699074074
1544030400,21,0.1166666666666666,27.94708333333333,24.703958333333333,26.813881944444447
1544030460,22,0.1222222222222222,28.06136226851851,24.86969675925926,27.04179745370371
1544030520,23,0.1277777777777777,28.224266203703703,25.03991435185185,27.22448032407407
1544030580,24,0.1333333333333333,28.35523611111111,25.211125,27.47934722222222
1544030640,25,0.1388888888888889,28.46397685185185,25.38275925925926,27.625991898148147
1544030700,26,0.1444444444444444,28.558908564814818,25.5531712962963,27.863431712962964
1544030760,27,0.15,28.659888888888883,25.716090277777777,27.94486458333333
1544030820,28,0.1555555555555555,28.78655671296297,25.87143287037037,28.051599537037035
1544030880,29,0.1611111111111111,28.932207175925925,26.016115740740734,28.231956018518517
1544030940,30,0.1666666666666666,29.03974305555556,26.155604166666667,28.36964583333333
1544031000,31,0.1722222222222222,29.12395254629629,26.28409953703704,28.4883113425926
1544031060,32,0.1777777777777777,29.255787037037035,26.40923379629629,28.651067129629634
1544031120,33,0.1833333333333333,29.358534722222217,26.53674305555556,28.82067013888889
1544031180,34,0.1888888888888888,29.51260185185185,26.66894675925926,28.99396064814815
1544031240,35,0.1944444444444444,29.60297453703704,26.80502546296297,29.149754629629623
1544031300,36,0.2,29.650666666666663,26.93544444444444,29.24360069444444
1544031360,37,0.2055555555555555,29.78806018518519,27.06609953703704,29.407353009259264
1544031420,38,0.2111111111111111,29.95195023148148,27.198115740740743,29.524813657407407
1544031480,39,0.2166666666666666,30.07930902777778,27.326562500000005,29.68114236111111
1544031540,40,0.2222222222222222,30.195903935185186,27.44912037037037,29.81193287037037
1544031600,41,0.2277777777777777,30.326741898148143,27.569157407407413,29.94678935185186
1544031660,42,0.2333333333333333,30.435892361111115,27.684166666666663,30.03948611111112
1544031720,43,0.2388888888888889,30.54139351851852,27.79299189814815,30.12709953703704
1544031780,44,0.2444444444444444,30.645790509259268,27.89770254629629,30.15529282407407
1544031840,45,0.25,30.730506944444443,28.00299305555556,30.27383333333333
1544031900,46,0.2555555555555555,30.819657407407405,28.10810648148148,30.400123842592595
1544031960,47,0.2611111111111111,30.90040856481481,28.207567129629638,30.515594907407404
1544032020,48,0.2666666666666666,31.019774305555558,28.30525347222223,30.652947916666665
1544032080,49,0.2722222222222222,31.145980324074078,28.39521064814815,30.78637731481481
1544032140,50,0.2777777777777778,31.238130787037036,28.48849421296296,30.967303240740737
1544032200,51,0.2833333333333333,31.32241666666667,28.578229166666663,31.04732291666667
1544032260,52,0.2888888888888888,31.43704976851852,28.671738425925923,31.126429398148147
1544032320,53,0.2944444444444444,31.5374537037037,28.76669212962964,31.23714699074074
1544032380,54,0.3,31.58649305555556,28.87367361111112,31.27947916666666
1544032440,55,0.3055555555555556,31.69999074074074,28.978651620370368,31.34372453703704
1544032500,56,0.3111111111111111,31.828828703703707,29.07732060185185,31.406251157407407
1544032560,57,0.3166666666666666,31.959475694444446,29.16539236111112,31.53889930555556
1544032620,58,0.3222222222222222,32.096032407407414,29.25754050925926,31.67685300925926
1544032680,59,0.3277777777777778,32.1498912037037,29.36176851851852,31.842765046296293
1544032740,60,0.3333333333333333,32.22366666666667,29.46377083333333,31.936795138888893
1544032800,61,0.3388888888888889,32.22392824074074,29.560453703703704,32.01977314814815
1544032860,62,0.3444444444444444,32.2772800925926,29.6489525462963,32.104563657407404
1544032920,63,0.35,32.364090277777784,29.73486458333333,32.17632638888889
1544032980,64,0.3555555555555555,32.454574074074074,29.82161342592593,32.207182870370374
1544033040,65,0.3611111111111111,32.54448148148148,29.90857407407408,32.277737268518514
1544033100,66,0.3666666666666666,32.64589930555556,29.99865277777777,32.36296875
1544033160,67,0.3722222222222222,32.77610879629629,30.091981481481483,32.48562037037038
1544033220,68,0.3777777777777777,32.86678009259259,30.17990046296297,32.61479976851852
1544033280,69,0.3833333333333333,32.927,30.26049305555556,32.70186111111111
