unix,minute,test_progress,final_avg_BVP,mt1_avg_BVP,mt2_avg_BVP
1544029260,2,0.0111111111111111,0.1187179687499999,0.0167763020833333,-0.0849502604166667
1544029380,4,0.0222222222222222,0.3261869791666666,-0.0149442708333333,0.14556484375
1544029500,6,0.0333333333333333,-0.1798682291666667,0.0152486979166666,-0.1115677083333333
1544029620,8,0.0444444444444444,0.0140559895833333,-0.0020648437499999,0.14100234375
1544029740,10,0.0555555555555555,0.0846164062499999,0.00898359375,-0.1327927083333334
1544029860,12,0.0666666666666666,-0.0708901041666667,-0.0033973958333333,0.1270382812499998
1544029980,14,0.0777777777777777,-0.0564567708333333,-0.0063664062499999,0.0101398437499999
1544030100,16,0.0888888888888888,0.2104815104166666,-0.0252937499999999,0.0148486979166667
1544030220,18,0.1,-0.0142661458333334,0.0072851562499999,-0.3032171875000001
1544030340,20,0.1111111111111111,-0.4066351562500001,0.0161294270833333,0.1123252604166666
1544030460,22,0.1222222222222222,-0.0151966145833333,0.0154981770833333,-0.108684375
1544030580,24,0.1333333333333333,0.0691838541666668,-0.0146276041666666,0.0044671875
1544030700,26,0.1444444444444444,0.0839804687499999,0.00304296875,0.2261515624999999
1544030820,28,0.1555555555555555,0.0349697916666667,0.00526171875,0.0709057291666666
1544030940,30,0.1666666666666666,0.0192869791666666,-0.00137109375,-0.1465080729166666
1544031060,32,0.1777777777777777,0.1026338541666665,0.0026677083333333,-0.0235721354166666
1544031180,34,0.1888888888888888,0.1020937500000001,0.0089140624999999,0.00081953125
1544031300,36,0.2,0.0153653645833333,-0.0119106770833333,-0.1166598958333333
1544031420,38,0.2111111111111111,-0.0116356770833333,-0.0017361979166666,0.1893864583333334
1544031540,40,0.2222222222222222,0.1202315104166666,0.0152919270833333,0.2699908854166667
1544031660,42,0.2333333333333333,-0.1678861979166666,0.0166666666666666,-0.4755307291666666
1544031780,44,0.2444444444444444,0.0677291666666667,-0.0310361979166666,0.2488505208333334
1544031900,46,0.2555555555555555,-0.10115859375,0.0002822916666666,-0.0438455729166664
1544032020,48,0.2666666666666666,-0.3075453124999999,-0.0052721354166666,0.0535648437499999
1544032140,50,0.2777777777777778,-0.0634575520833334,0.0188471354166666,-0.0480315104166666
1544032260,52,0.2888888888888888,-0.0399700520833334,-0.0177221354166666,0.0457953125
1544032380,54,0.3,-0.0552903645833334,0.0030335937499999,0.1547281249999998
1544032500,56,0.3111111111111111,0.0709437499999999,-0.0013041666666666,-0.24159375
1544032620,58,0.3222222222222222,0.0905494791666665,-0.0049541666666666,-0.3062825520833334
1544032740,60,0.3333333333333333,0.1485588541666666,0.0023911458333333,0.4746075520833335
1544032860,62,0.3444444444444444,-0.0340786458333333,-0.0017078124999999,0.0010973958333333
1544032980,64,0.3555555555555555,0.1190950520833334,0.0011098958333333,-0.3473682291666667
1544033100,66,0.3666666666666666,0.0615588541666664,0.0022510416666666,-0.1479307291666666
1544033220,68,0.3777777777777777,-0.06108359375,-0.0047700520833333,0.5043796875
1544033340,70,0.3888888888888889,0.2572489583333334,0.00223671875,-0.2593390625
1544033460,72,0.4,0.1882723958333333,0.0004999999999999,0.1672145833333334
