unix,minute,test_progress,final_avg_HR,mt1_avg_HR,mt2_avg_HR
1544029201,1,0.0055555555555555,88.26661666666665,107.91351666666668,110.39655
1544029261,2,0.0111111111111111,88.34631666666668,106.31588333333336,101.75603333333332
1544029321,3,0.0166666666666666,91.12683333333334,111.87361666666668,101.30485
1544029381,4,0.0222222222222222,85.88255000000002,117.62335,99.66979999999998
1544029441,5,0.0277777777777777,89.5298,109.69408333333334,97.81008333333334
1544029501,6,0.0333333333333333,91.19821666666668,104.90433333333333,97.65341666666669
1544029561,7,0.0388888888888888,87.62646666666667,98.46298333333334,89.90193333333335
1544029621,8,0.0444444444444444,92.95231666666666,99.87536666666668,87.02619999999999
1544029681,9,0.05,91.33921666666666,99.86371666666666,92.07546666666669
1544029741,10,0.0555555555555555,90.94545,95.38038333333334,90.57426666666667
1544029801,11,0.0611111111111111,90.15861666666666,96.85511666666667,95.59093333333335
1544029861,12,0.0666666666666666,90.10108333333332,89.79051666666666,93.55181666666668
1544029921,13,0.0722222222222222,88.23483333333334,85.77208333333333,90.17619999999998
1544029981,14,0.0777777777777777,86.98681666666667,85.54181666666668,90.72315
1544030041,15,0.0833333333333333,85.03065,87.46833333333333,94.12955
1544030101,16,0.0888888888888888,83.64158333333333,94.1777,91.53071666666663
1544030161,17,0.0944444444444444,86.38835,97.9421,93.098
1544030221,18,0.1,87.58361666666666,88.95065000000001,97.45981666666668
1544030281,19,0.1055555555555555,89.13938333333331,91.60841666666668,96.83553333333332
1544030341,20,0.1111111111111111,93.82415,95.55736666666668,87.37238333333333
1544030401,21,0.1166666666666666,93.99798333333334,93.65048333333334,92.43465
1544030461,22,0.1222222222222222,87.17785,89.99324999999999,92.35895
1544030521,23,0.1277777777777777,84.11398333333332,92.74108333333334,88.78586666666666
1544030581,24,0.1333333333333333,83.70671666666667,91.10193333333332,86.15298333333332
1544030641,25,0.1388888888888889,85.43728333333334,87.26776666666667,87.58813333333335
1544030701,26,0.1444444444444444,81.80198333333331,90.70128333333332,88.00596666666667
1544030761,27,0.15,81.90988333333333,90.28905,94.38626666666669
1544030821,28,0.1555555555555555,86.62888333333333,89.57804999999999,93.84503333333332
1544030881,29,0.1611111111111111,86.61088333333333,83.26391666666667,88.60388333333333
1544030941,30,0.1666666666666666,89.36578333333333,84.87819999999999,89.37178333333333
1544031001,31,0.1722222222222222,86.75593333333333,84.68956666666666,89.0998
1544031061,32,0.1777777777777777,86.43684999999999,84.37391666666666,84.39656666666667
1544031121,33,0.1833333333333333,86.99788333333335,80.25221666666668,83.72411666666667
1544031181,34,0.1888888888888888,88.01278333333332,83.48091666666666,86.97963333333334
1544031241,35,0.1944444444444444,88.31268333333333,90.77456666666664,88.61566666666667
1544031301,36,0.2,80.60875000000001,97.7385,93.11614999999998
1544031361,37,0.2055555555555555,84.99728333333333,96.353,93.17625
1544031421,38,0.2111111111111111,83.99875,93.08501666666666,90.40268333333331
1544031481,39,0.2166666666666666,87.53793333333331,98.83460000000002,94.16254999999998
1544031541,40,0.2222222222222222,93.60583333333334,93.84438333333334,92.11796666666665
1544031601,41,0.2277777777777777,90.51666666666668,89.41310000000001,85.7573
1544031661,42,0.2333333333333333,88.10034999999999,91.33695,92.23125
1544031721,43,0.2388888888888889,86.06941666666667,89.19318333333334,92.59093333333333
1544031781,44,0.2444444444444444,87.79216666666666,81.22494999999999,86.84636666666667
1544031841,45,0.25,91.70401666666667,81.40886666666667,91.65428333333332
1544031901,46,0.2555555555555555,86.41668333333334,77.77508333333334,86.46578333333333
1544031961,47,0.2611111111111111,82.33115000000001,82.33446666666666,87.45668333333333
1544032021,48,0.2666666666666666,81.57826666666666,87.48901666666667,88.13913333333332
1544032081,49,0.2722222222222222,86.189,98.87386666666669,93.33096666666668
1544032141,50,0.2777777777777778,91.09663333333334,102.47214999999998,97.43783333333332
1544032201,51,0.2833333333333333,92.62365,99.95076666666664,92.46713333333332
1544032261,52,0.2888888888888888,90.19568333333332,95.15233333333332,91.6023
1544032321,53,0.2944444444444444,92.78575,98.75265,97.15518333333333
1544032381,54,0.3,93.9579,93.83896666666666,94.39536666666667
1544032441,55,0.3055555555555556,90.72163333333332,94.03471666666668,89.849
1544032501,56,0.3111111111111111,92.89376666666666,91.19393333333332,89.60524999999998
1544032561,57,0.3166666666666666,87.44181666666665,87.94001666666666,89.5202
1544032621,58,0.3222222222222222,86.7068,91.59585,88.71178333333333
1544032681,59,0.3277777777777778,83.80016666666668,89.01741666666666,89.3318
1544032741,60,0.3333333333333333,82.79220000000001,86.64308333333332,90.7766
1544032801,61,0.3388888888888889,84.38871666666667,91.20901666666668,88.63643333333334
1544032861,62,0.3444444444444444,88.55951666666667,94.92916666666666,87.39361666666666
1544032921,63,0.35,86.17200000000001,97.2569,92.63245000000002
1544032981,64,0.3555555555555555,88.08803333333333,104.72396666666666,92.84946666666666
1544033041,65,0.3611111111111111,85.00101666666667,108.89961666666666,91.32875
1544033101,66,0.3666666666666666,84.58250000000001,94.77043333333332,86.50213333333332
1544033161,67,0.3722222222222222,83.89865,102.22361666666669,85.88923333333334
1544033221,68,0.3777777777777777,86.17736666666666,105.52176666666666,87.60648333333333
1544033281,69,0.3833333333333333,88.7641,104.51395,88.81233333333333
1544033341,70,0.3888888888888889,87.61888333333333,96.99706666666668,89.41319999999999
1544033401,71,0.3944444444444444,85.66585,93.89518333333334,92.56015
1544033461,72,0.4,86.20360000000001,84.96398333333335,91.89746666666666
1544033521,73,0.4055555555555555,90.66008333333336,94.33176666666664,92.28428333333332
1544033581,74,0.4111111111111111,87.15011666666668,98.76508333333332,91.93013333333334
1544033641,75,0.4166666666666667,88.99895,97.74198333333334,92.45045
1544033701,76,0.4222222222222222,88.25780000000002,97.71856666666665,93.8612
1544033761,77,0.4277777777777777,91.42383333333332,100.85655,95.86188333333334
1544033821,78,0.4333333333333333,90.55541666666667,100.66516666666668,94.54216666666666
1544033881,79,0.4388888888888889,88.96523333333334,97.86156666666666,91.9708
1544033941,80,0.4444444444444444,86.69986666666667,90.91745,88.75761666666666
1544034001,81,0.45,81.92313333333334,92.06011666666669,87.78055
1544034061,82,0.4555555555555555,79.52133333333333,98.10835,91.31531666666666
1544034121,83,0.4611111111111111,84.84806666666665,90.60468333333333,90.65713333333332
1544034181,84,0.4666666666666667,91.849,82.42601666666667,91.63543333333334
1544034241,85,0.4722222222222222,87.10849999999999,81.51665,83.89841666666666
1544034301,86,0.4777777777777778,85.64728333333333,86.08623333333334,83.30479999999999
1544034361,87,0.4833333333333333,84.0365,85.65303333333334,87.00083333333335
1544034421,88,0.4888888888888889,84.67823333333334,88.70705,86.16608333333332
1544034481,89,0.4944444444444444,84.6386,90.32986666666666,88.19333333333334
1544034541,90,0.5,83.49401666666668,93.01185,86.36111666666667
