unix,s1_mt1_TEMP,minute,s2_mt1_TEMP,s3_mt1_TEMP,s4_mt1_TEMP,s5_mt1_TEMP,s6_mt1_TEMP,s7_mt1_TEMP,s8_mt1_TEMP,s9_mt1_TEMP,s10_mt1_TEMP,test_progress,avg_TEMP
1539438500,23.027916666666666,1,23.153416666666665,23.84808333333333,25.663166666666665,25.87183333333333,22.858583333333335,22.76625,23.043083333333335,25.27241666666667,22.563666666666666,0.011111111111111112,23.806841666666667
1539438560,23.467499999999998,2,23.14741666666667,24.47325,25.854750000000003,26.420916666666667,22.849833333333333,22.970333333333333,23.030416666666667,25.670833333333334,22.770166666666668,0.022222222222222223,24.065541666666668
1539438620,23.879416666666668,3,23.14333333333333,24.956666666666667,25.999000000000002,26.87066666666667,22.833333333333332,23.345916666666668,23.023416666666666,25.9965,22.99525,0.03333333333333333,24.304350000000003
1539438680,24.552666666666667,4,23.13858333333333,25.317333333333334,26.136083333333332,27.243916666666667,22.83533333333333,23.780666666666665,23.01025,26.262666666666668,23.267,0.044444444444444446,24.55445
1539438740,25.270666666666667,5,23.13808333333333,25.613333333333333,26.26025,27.55875,22.843,24.229833333333332,23.0365,26.488083333333336,23.87891666666667,0.05555555555555555,24.831741666666666
1539438800,25.76608333333333,6,23.146916666666662,25.83425,26.353416666666664,27.83225,23.1385,24.745166666666666,23.43075,26.704083333333333,24.518833333333337,0.06666666666666667,25.147024999999996
1539438860,26.106,7,23.152916666666666,25.974749999999997,26.449166666666667,28.0595,23.708000000000002,25.19816666666667,24.211166666666667,26.9035,25.055416666666666,0.07777777777777778,25.481858333333335
1539438920,26.409583333333334,8,23.162,26.086583333333333,26.561083333333332,28.258916666666668,24.408166666666666,25.501666666666665,24.950499999999998,27.07058333333333,25.489250000000002,0.08888888888888889,25.789833333333338
1539438980,26.640833333333333,9,23.164916666666667,26.190166666666666,26.6875,28.43791666666667,25.047,25.74825,25.542166666666667,27.18116666666667,25.82425,0.1,26.04641666666667
1539439040,26.793,10,23.164083333333334,26.306583333333332,26.775416666666665,28.59675,25.55275,25.948333333333334,26.008,27.280916666666666,26.09225,0.1111111111111111,26.251808333333333
1539439100,26.94875,11,23.175166666666666,26.417166666666667,26.814916666666665,28.71225,25.95808333333333,26.083833333333335,26.33875,27.378249999999998,26.291666666666668,0.12222222222222222,26.411883333333332
1539439160,27.08525,12,23.490666666666666,26.514583333333334,26.819,28.777166666666666,26.308666666666667,26.190083333333334,26.565,27.44291666666667,26.4425,0.13333333333333333,26.563583333333337
1539439220,27.1925,13,24.087416666666666,26.612666666666666,26.816666666666666,28.842499999999998,26.6325,26.272499999999997,26.72275,27.47025,26.5575,0.14444444444444443,26.720724999999998
1539439280,27.305083333333336,14,24.67983333333333,26.680416666666666,26.812833333333334,28.88125,26.882333333333335,26.353083333333334,26.822083333333335,27.46441666666667,26.61658333333333,0.15555555555555556,26.84979166666667
1539439340,27.451916666666666,15,25.221416666666666,26.752333333333336,26.809,28.9005,27.112333333333332,26.407833333333333,26.9055,27.460583333333332,26.664333333333335,0.16666666666666666,26.968574999999998
1539439400,27.546916666666668,16,25.66825,26.822416666666665,26.792416666666664,28.928583333333332,27.343666666666664,26.473666666666663,26.9835,27.474666666666668,26.755916666666668,0.17777777777777778,27.078999999999997
1539439460,27.601916666666668,17,26.0505,26.893333333333334,26.755499999999998,28.945333333333334,27.5745,26.52025,27.029583333333335,27.501083333333334,26.870166666666666,0.18888888888888888,27.174216666666666
1539439520,27.673166666666667,18,26.388666666666666,27.004416666666668,26.729,28.956916666666665,27.766833333333334,26.550833333333333,27.086000000000002,27.538583333333335,27.000833333333333,0.2,27.269524999999998
1539439580,27.742416666666667,19,26.684250000000002,27.106416666666668,26.721416666666666,28.96025,27.922833333333333,26.57491666666667,27.165916666666664,27.58475,27.106499999999997,0.2111111111111111,27.356966666666665
1539439640,27.813750000000002,20,26.934666666666665,27.2045,26.735833333333336,28.955499999999997,28.029333333333334,26.60225,27.271916666666666,27.63525,27.19075,0.2222222222222222,27.437374999999996
1539439700,27.888666666666666,21,27.21075,27.295583333333333,26.759,28.942666666666664,28.147666666666666,26.632833333333334,27.38383333333333,27.689500000000002,27.263666666666666,0.23333333333333334,27.521416666666664
1539439760,27.97725,22,27.525166666666667,27.430999999999997,26.798,28.925166666666666,28.29775,26.674166666666668,27.471999999999998,27.76475,27.326666666666664,0.24444444444444444,27.619191666666666
1539439820,28.053583333333336,23,27.883166666666668,27.59,26.83358333333333,28.912,28.475083333333334,26.722500000000004,27.549083333333336,27.842333333333332,27.362083333333334,0.25555555555555554,27.722341666666665
1539439880,28.123916666666666,24,28.25375,27.746583333333334,26.873583333333332,28.89991666666667,28.67725,26.760166666666667,27.622333333333334,27.91508333333333,27.39425,0.26666666666666666,27.826683333333335
1539439940,28.165583333333334,25,28.620166666666666,27.913083333333336,26.888583333333333,28.924249999999997,28.892999999999997,26.778166666666667,27.732666666666667,27.979,27.420833333333334,0.2777777777777778,27.931533333333334
1539440000,28.205083333333334,26,28.981916666666667,28.10141666666667,26.89925,28.953500000000002,29.087,26.78875,27.846833333333333,28.045833333333334,27.439583333333335,0.28888888888888886,28.034916666666668
1539440060,28.262416666666663,27,29.300166666666666,28.276833333333332,26.913,28.959083333333332,29.255999999999997,26.78925,27.970916666666664,28.102666666666668,27.462749999999996,0.3,28.12930833333333
1539440120,28.3145,28,29.551333333333332,28.444583333333334,26.907,28.980916666666666,29.403416666666665,26.800749999999997,28.10025,28.152916666666666,27.490416666666665,0.3111111111111111,28.21460833333333
