unix,s1_final_TEMP,minute,s2_final_TEMP,s3_final_TEMP,s4_final_TEMP,s5_final_TEMP,s6_final_TEMP,s7_final_TEMP,s8_final_TEMP,s9_final_TEMP,s10_final_TEMP,test_progress,avg_TEMP
1544029200,30.492833333333333,1,31.414416666666668,28.38308333333333,29.079833333333333,31.127333333333336,30.152416666666667,27.448916666666666,30.815333333333335,32.3455,30.108999999999998,0.005555555555555556,30.13686666666667
1544029260,30.521583333333336,2,31.41425,28.274833333333333,29.104499999999998,30.933249999999997,30.20175,27.36341666666667,30.971833333333333,32.21491666666667,30.182000000000002,0.011111111111111112,30.118233333333336
1544029320,30.579,3,31.482166666666668,27.927666666666667,29.383166666666668,30.882416666666664,30.2125,27.395166666666668,30.883249999999997,32.03125,30.018583333333332,0.016666666666666666,30.07951666666666
1544029380,30.67441666666667,4,31.62425,27.872916666666665,29.487333333333332,30.953083333333332,30.28033333333333,27.463833333333334,30.805666666666664,32.104416666666665,30.079250000000002,0.022222222222222223,30.13455
1544029440,30.649083333333333,5,31.812583333333336,27.562416666666667,29.751083333333334,31.045166666666667,30.44291666666667,27.546833333333332,30.445416666666667,32.32491666666667,30.293333333333333,0.027777777777777776,30.187375000000003
1544029500,30.6545,6,31.993,28.01608333333333,29.995583333333332,31.083916666666664,30.540416666666665,27.615833333333335,29.822166666666664,32.4415,30.407333333333334,0.03333333333333333,30.257033333333332
1544029560,30.67825,7,32.11329166666667,28.800833333333333,30.325750000000003,31.1375,30.578666666666667,27.59733333333333,29.418499999999998,32.35166666666667,30.424416666666666,0.03888888888888889,30.34262083333333
1544029620,30.564333333333334,8,32.183458333333334,29.25075,30.612750000000002,31.30366666666667,30.428166666666666,27.658666666666665,29.866666666666667,32.28641666666667,30.573,0.044444444444444446,30.472787500000003
1544029680,30.550833333333333,9,32.2705,29.87141666666667,30.6565,31.401416666666666,30.533166666666666,27.6655,29.913333333333334,32.2535,30.655166666666666,0.05,30.577133333333336
1544029740,30.453,10,32.37075,30.630333333333333,30.58,31.457416666666667,30.689000000000004,27.586000000000002,30.237750000000002,32.34875,30.908166666666666,0.05555555555555555,30.726116666666666
1544029800,30.556333333333335,11,32.42966666666667,30.955583333333333,30.602333333333334,31.567416666666666,30.793083333333335,27.491083333333332,30.763583333333333,32.409,30.903583333333334,0.06111111111111111,30.84716666666667
1544029860,30.69,12,32.44116666666667,31.13266666666667,30.813083333333335,31.75408333333333,30.907500000000002,27.50225,31.059583333333332,32.336875,30.746083333333335,0.06666666666666667,30.93832916666667
1544029920,30.646083333333333,13,32.474833333333336,30.997416666666666,30.87575,31.87025,31.0455,27.51158333333333,31.396583333333336,32.06104166666667,30.719333333333335,0.07222222222222222,30.9598375
1544029980,30.7385,14,32.434916666666666,30.957833333333333,30.991,31.886000000000003,31.158916666666666,27.54625,31.42475,32.049416666666666,30.70025,0.07777777777777778,30.988783333333327
1544030040,30.778916666666664,15,32.42945833333333,30.94125,31.19541666666667,31.950166666666668,31.243583333333333,27.594333333333335,31.53083333333333,32.14908333333333,30.835833333333333,0.08333333333333333,31.064887499999998
1544030100,30.75041666666667,16,32.58229166666667,31.016750000000002,31.226916666666668,32.131166666666665,31.217750000000002,27.62575,31.91675,32.193583333333336,30.964083333333335,0.08888888888888889,31.162545833333336
1544030160,30.800333333333334,17,32.708083333333335,30.983583333333332,31.229916666666668,32.25066666666667,31.220750000000002,27.57975,32.23358333333333,32.142,31.070083333333333,0.09444444444444444,31.221875
1544030220,30.729333333333333,18,32.83933333333333,30.954083333333333,31.139583333333334,32.38008333333333,31.299083333333332,27.548833333333334,32.27316666666667,32.219500000000004,30.991083333333332,0.1,31.23740833333333
1544030280,30.722416666666668,19,32.97141666666667,30.906083333333335,31.169500000000003,32.4425,31.379666666666665,27.58875,32.45783333333333,32.3325,30.700249999999997,0.10555555555555556,31.267091666666666
1544030340,30.77108333333333,20,33.032666666666664,30.982833333333335,31.34025,32.51616666666667,31.449666666666666,27.632833333333334,32.54291666666667,32.51583333333333,30.764416666666666,0.1111111111111111,31.354866666666663
1544030400,30.838166666666666,21,33.087666666666664,31.092083333333335,31.440166666666666,32.718333333333334,31.505916666666668,27.63125,32.79425,32.64683333333333,30.493666666666666,0.11666666666666667,31.42483333333334
1544030460,30.833833333333335,22,33.139541666666666,31.27808333333333,31.370416666666667,32.85366666666667,31.46258333333333,27.512166666666666,32.930416666666666,32.801,30.432416666666665,0.12222222222222222,31.4614125
1544030520,30.813583333333334,23,33.24004166666666,31.452499999999997,31.362916666666667,33.01804166666667,31.447333333333333,27.647333333333332,33.08275,32.95433333333333,30.544583333333332,0.12777777777777777,31.55634166666666
1544030580,30.737833333333334,24,33.29833333333333,31.671333333333333,31.47908333333333,33.204791666666665,31.487000000000002,27.597416666666668,32.90691666666667,33.090625,30.656166666666667,0.13333333333333333,31.61295
1544030640,30.68916666666667,25,33.307249999999996,31.8025,31.536083333333334,33.176125,31.528666666666666,27.615166666666664,32.87558333333333,33.201708333333336,30.696583333333333,0.1388888888888889,31.642883333333327
1544030700,30.646666666666665,26,33.325208333333336,31.850416666666668,31.479916666666664,33.211625,31.568083333333334,27.685416666666665,32.96775,33.330041666666666,30.497333333333334,0.14444444444444443,31.656245833333337
1544030760,30.7575,27,33.418375,31.882416666666664,31.483666666666668,33.13558333333334,31.65875,27.76158333333333,33.117916666666666,33.42120833333333,30.131666666666668,0.15,31.676866666666665
