unix,s1_final_HR,minute,s2_final_HR,s3_final_HR,s4_final_HR,s5_final_HR,s6_final_HR,s7_final_HR,s8_final_HR,s9_final_HR,s10_final_HR,test_progress,avg_HR
1544029201,83.42033333333333,1,103.48,78.49766666666666,101.33616666666667,84.79333333333334,89.557,82.31233333333333,86.338,98.22600000000001,74.70533333333333,0.005555555555555556,88.26661666666665
1544029261,83.3265,2,109.80733333333333,94.97216666666667,82.92033333333333,85.44433333333333,94.801,82.07083333333334,76.58716666666668,88.514,85.01950000000001,0.011111111111111112,88.34631666666668
1544029321,72.5435,3,110.3665,155.37333333333333,74.60316666666667,100.60516666666668,83.18966666666667,75.56683333333334,73.43916666666668,89.83266666666667,75.74833333333332,0.016666666666666666,91.12683333333334
1544029381,67.44616666666667,4,98.02266666666667,94.75833333333334,79.37283333333333,102.58883333333333,87.28483333333334,77.95233333333334,83.95433333333334,92.67483333333332,74.77033333333334,0.022222222222222223,85.88255000000002
1544029441,109.58099999999999,5,104.05866666666665,91.26366666666667,79.81066666666668,107.93666666666667,81.52666666666667,79.282,78.577,87.90599999999999,75.35566666666666,0.027777777777777776,89.5298
1544029501,124.1875,6,108.3865,83.41266666666667,84.422,104.03383333333333,77.64233333333333,84.66016666666665,82.96183333333333,87.81,74.46533333333333,0.03333333333333333,91.19821666666667
1544029561,120.09216666666666,7,110.43533333333333,73.251,70.68233333333333,91.26266666666668,79.58383333333333,72.54616666666668,82.45,94.08200000000001,81.87916666666666,0.03888888888888889,87.62646666666667
1544029621,118.47516666666667,8,111.54766666666666,96.777,78.54966666666665,97.0425,76.77416666666666,90.37333333333332,85.38449999999999,90.7735,83.82566666666666,0.044444444444444446,92.95231666666666
1544029681,122.4465,9,108.9515,97.0415,83.04716666666667,98.02233333333334,72.628,79.1935,82.554,87.92966666666666,81.578,0.05,91.33921666666666
1544029741,108.79383333333334,10,112.34583333333333,90.25566666666667,82.56683333333334,114.3015,76.60283333333334,81.43066666666667,75.204,83.62733333333334,84.32600000000001,0.05555555555555555,90.94545000000001
1544029801,87.80733333333333,11,112.79033333333334,93.11316666666667,77.9935,114.84466666666667,74.97566666666667,81.73633333333333,83.93633333333334,87.06983333333332,87.319,0.06111111111111111,90.15861666666666
1544029861,94.9365,12,110.70599999999999,92.23,80.97966666666666,109.47966666666666,75.92116666666668,85.15516666666667,82.54166666666667,88.15383333333332,80.90716666666667,0.06666666666666667,90.10108333333332
1544029921,92.305,13,112.33783333333334,79.66383333333333,78.7825,99.497,70.06616666666667,97.79016666666666,77.619,91.68,82.60683333333333,0.07222222222222222,88.23483333333334
1544029981,109.368,14,103.94583333333334,92.11149999999999,66.78816666666667,99.86866666666667,72.93783333333334,89.86466666666666,73.18966666666667,85.06983333333332,76.72399999999999,0.07777777777777778,86.98681666666667
1544030041,101.54183333333334,15,91.10716666666667,99.16116666666667,81.23049999999999,94.96083333333333,77.46566666666666,85.69116666666667,60.341499999999996,87.63266666666667,71.17399999999999,0.08333333333333333,85.03065
1544030101,75.04783333333333,16,99.46566666666668,88.60083333333334,84.7105,76.497,77.75183333333332,92.11483333333334,66.93666666666667,89.28966666666666,86.001,0.08888888888888889,83.64158333333333
1544030161,84.86033333333333,17,98.43116666666667,92.92049999999999,77.48866666666666,85.21983333333333,73.9695,81.8445,73.98383333333332,86.25733333333332,108.90783333333334,0.09444444444444444,86.38835
1544030221,107.65266666666666,18,104.83416666666668,88.885,77.4185,108.84400000000001,72.83966666666667,76.60116666666666,71.58966666666667,85.221,81.95033333333335,0.1,87.58361666666666
