unix,s1_mt2_HR,minute,s2_mt2_HR,s3_mt2_HR,s4_mt2_HR,s5_mt2_HR,s6_mt2_HR,s7_mt2_HR,s8_mt2_HR,s9_mt2_HR,s10_mt2_HR,test_progress,avg_HR
1541861501,120.409,1,115.58283333333334,93.02199999999999,100.74833333333332,110.9125,107.02,116.70866666666667,117.63616666666667,78.9405,142.98549999999997,0.011111111111111112,110.39655
1541861561,113.23466666666667,2,114.3245,78.66216666666666,98.76316666666666,106.63433333333334,103.46116666666667,87.373,100.45966666666666,82.4255,132.22216666666665,0.022222222222222223,101.75603333333333
1541861621,116.68916666666668,3,110.44200000000001,93.97800000000001,91.73383333333332,104.03083333333333,89.75216666666667,79.28716666666668,86.48083333333334,98.966,141.6885,0.03333333333333333,101.30485
1541861681,79.33516666666667,4,97.18733333333333,105.37216666666667,89.441,106.29683333333334,77.83883333333333,85.85033333333334,85.52399999999999,122.61866666666667,147.23366666666666,0.044444444444444446,99.66979999999998
1541861741,82.07416666666667,5,92.55716666666667,109.76183333333333,105.27383333333334,111.41133333333333,77.40533333333333,97.74783333333333,94.68216666666667,118.212,88.97516666666667,0.05555555555555555,97.81008333333334
1541861801,77.38866666666667,6,102.79333333333334,117.24916666666667,102.16433333333333,108.02,74.33566666666667,81.11816666666667,120.00683333333333,106.57,86.88799999999999,0.06666666666666667,97.65341666666667
1541861861,77.57516666666668,7,95.21516666666666,99.458,80.5165,103.56083333333332,80.6785,74.24383333333334,105.47883333333333,95.40416666666667,86.88833333333334,0.07777777777777778,89.90193333333335
1541861921,82.49983333333333,8,99.64899999999999,81.89383333333333,79.04533333333333,96.48166666666665,90.6225,78.18516666666666,92.81333333333333,92.32966666666667,76.74166666666666,0.08888888888888889,87.02619999999999
1541861981,75.821,9,104.67116666666668,84.19216666666667,89.91883333333334,108.24783333333333,80.45166666666667,95.91149999999999,92.69383333333333,99.25,89.59666666666666,0.1,92.07546666666667
1541862041,92.55566666666667,10,105.6425,77.3495,95.58633333333334,111.36483333333334,72.91166666666666,91.7295,88.0145,89.19,81.39816666666667,0.1111111111111111,90.57426666666667
1541862101,113.19566666666667,11,106.99516666666666,77.33883333333333,93.08200000000001,105.54299999999999,78.78150000000001,99.87383333333334,95.49466666666667,98.99183333333333,86.61283333333334,0.12222222222222222,95.59093333333335
1541862161,103.62950000000001,12,105.61866666666667,75.10016666666667,83.50866666666667,94.361,86.28933333333333,121.73533333333333,82.631,94.40266666666666,88.24183333333333,0.13333333333333333,93.55181666666667
1541862221,106.988,13,102.62416666666667,81.97816666666667,81.85449999999999,98.69916666666667,84.72116666666668,95.47083333333333,78.64116666666668,84.9535,85.83133333333333,0.14444444444444443,90.17619999999998
1541862281,98.34899999999999,14,97.8415,72.02749999999999,83.87616666666666,107.56166666666667,102.03999999999999,85.20716666666667,84.69866666666667,89.597,86.03283333333334,0.15555555555555556,90.72315
1541862341,82.17116666666668,15,94.07783333333333,87.19816666666667,75.47766666666666,110.04333333333334,100.31433333333332,109.36483333333334,82.5085,111.304,88.83566666666667,0.16666666666666666,94.12955
1541862401,64.79966666666667,16,90.54833333333333,100.74916666666667,75.61149999999999,108.75266666666667,79.90383333333332,94.5175,111.002,99.09966666666666,90.32283333333334,0.17777777777777778,91.53071666666665
1541862461,74.99549999999999,17,71.82133333333333,101.49616666666667,98.14866666666667,112.36416666666668,76.27783333333333,103.092,120.75566666666667,87.275,84.75366666666667,0.18888888888888888,93.098
1541862521,86.338,18,83.18650000000001,111.23283333333333,99.40133333333333,109.43583333333332,83.70666666666666,109.744,109.39349999999999,88.92133333333332,93.23816666666667,0.2,97.45981666666668
