unix,s1_mt2_BVP,minute,s2_mt2_BVP,s3_mt2_BVP,s4_mt2_BVP,s5_mt2_BVP,s6_mt2_BVP,s7_mt2_BVP,s8_mt2_BVP,s9_mt2_BVP,s10_mt2_BVP,test_progress,avg_BVP
1541861500,0.09016666666666664,1,0.5080651041666665,0.08648437499999995,-0.43518229166666667,0.0992057291666665,0.002432291666666671,-1.1516744791666667,0.18749218750000007,-0.218947916666667,-0.017544270833333365,0.011111111111111112,-0.08495026041666673
1541861560,0.17192187500000009,2,-0.18530468749999998,0.04616145833333347,-0.0063932291666657075,-0.13289843750000002,0.09392968750000001,1.0939947916666664,0.3408098958333329,0.03693750000000004,-0.003510416666666986,0.022222222222222223,0.14556484375
1541861620,-0.8215104166666662,3,0.08326041666666632,0.032664062499999896,-0.2286223958333333,0.04881770833333333,0.12192708333333341,0.10421614583333311,-0.2642526041666667,0.1773177083333334,-0.36949479166666693,0.03333333333333333,-0.11156770833333338
1541861680,0.5912630208333333,4,-0.22036458333333322,-0.07697656250000033,0.39585937499999985,-0.13666666666666666,0.09916666666666667,0.0758671875000001,-0.2864244791666666,-0.09143489583333318,1.0597343750000003,0.044444444444444446,0.14100234375
1541861740,-0.12176562500000015,5,0.00691927083333328,0.19489583333333346,-0.534716145833334,-0.07932552083333322,-0.317971354166667,-0.24742968749999994,0.11580729166666683,0.4875781249999996,-0.8319192708333337,0.05555555555555555,-0.13279270833333348
1541861800,0.09575520833333329,6,-0.3589947916666666,0.7486302083333329,0.6796874999999998,0.03302604166666689,0.17278124999999994,0.14103124999999922,0.09392187500000017,-0.5747656249999998,0.23930989583333337,0.06666666666666667,0.12703828124999988
1541861860,0.3410130208333334,7,0.3530703125000001,-0.6625026041666671,0.011828124999999664,0.12302083333333338,-0.17960416666666681,-0.5577838541666661,-0.17092187500000014,0.24353906250000013,0.5997395833333333,0.07777777777777778,0.010139843749999988
1541861920,-0.3970078124999998,8,0.030880208333333277,0.5730364583333343,-0.2913619791666664,0.061213541666666586,-0.04258593749999999,0.006692708333333108,0.5851249999999992,-0.2321953124999996,-0.1453098958333334,0.08888888888888889,0.014848697916666733
1541861980,0.04591145833333322,9,-0.11503906249999991,-1.5506796875,-0.8115598958333337,0.009401041666666643,-0.28744531249999977,0.5475937499999994,-0.5542317708333336,-0.3570494791666667,0.040927083333333295,0.1,-0.3032171875000001
1541862040,-0.07075520833333333,10,0.015791666666666707,0.9370937500000004,0.8189140624999999,-0.07617708333333333,0.2960885416666664,-0.09057812500000008,-0.5353750000000002,0.38973177083333305,-0.5614817708333327,0.1111111111111111,0.11232526041666668
1541862100,-0.0008385416666666145,11,-0.01536197916666661,-0.37911197916666695,-0.17685677083333354,0.027065104166666572,0.14713281249999982,0.021635416666667004,0.6191171875000006,-1.3143463541666667,-0.015278645833333548,0.12222222222222222,-0.10868437500000001
1541862160,0.019335937499999987,12,0.08335677083333343,-0.17539843750000053,0.1882968750000001,-0.12158593749999996,-0.03188541666666663,-0.010015624999999728,0.30783854166666724,0.0670651041666666,-0.2823359374999997,0.13333333333333333,0.0044671875000000805
1541862220,0.014893229166666666,13,0.025476562499999907,0.2342708333333334,0.055994791666666766,0.254078125,0.47783072916666663,0.17925520833333353,-0.25900520833333374,1.1067317708333333,0.17198958333333322,0.14444444444444443,0.22615156249999996
1541862280,0.046177083333333244,14,-0.09458854166666662,0.3258385416666656,0.7215625000000003,-0.5661614583333336,-0.5556979166666667,0.30786197916666697,-0.2939999999999999,0.7714817708333338,0.04658333333333326,0.15555555555555556,0.07090572916666664
1541862340,-0.026601562499999905,15,-0.17393229166666663,-0.05288020833333323,-0.6737786458333338,0.5885442708333333,-0.04118749999999991,-0.32311458333333315,-0.050755208333332705,-0.7854921875000004,0.07411718750000011,0.16666666666666666,-0.14650807291666662
1541862400,-0.03841406250000001,16,0.2208567708333333,-0.6008776041666667,0.27637760416666673,-0.043247395833333376,0.07314322916666657,-0.117515625,-0.012791666666666401,-0.1424192708333332,0.14916666666666673,0.17777777777777778,-0.02357213541666663
1541862460,0.14269531250000006,17,0.018117187499999982,0.1618333333333342,-0.20888281250000015,-0.31109635416666687,0.052552083333333145,-0.3868072916666666,0.10632031250000006,0.4226171875000001,0.010846354166666631,0.18888888888888888,0.0008195312500000555
1541862520,-0.04628906249999994,18,-0.9588645833333334,0.8969192708333334,0.02370052083333339,0.31172135416666674,-0.04869531249999999,-0.5006223958333336,-0.29425260416666676,-0.21936718750000012,-0.3308489583333333,0.2,-0.11665989583333332
1541862580,-0.39483593750000007,19,0.9628958333333334,-0.2021796875000002,-0.16583854166666648,-0.13946354166666675,0.009710937499999952,1.1995182291666673,0.34944270833333346,0.11850260416666668,0.15611197916666678,0.2111111111111111,0.1893864583333334
1541862640,0.3131276041666667,20,0.08853124999999996,-0.4175937500000003,-0.0499114583333333,-0.04430989583333316,0.07821875000000006,-1.745682291666666,4.300216145833334,0.1051171874999996,0.07219531249999996,0.2222222222222222,0.2699908854166667
1541862700,0.027822916666666676,21,-0.08613020833333335,0.04543229166666629,-0.30940104166666677,-0.004710937499999816,-0.4569973958333333,1.1259661458333345,-4.248044270833334,-0.769484375,-0.0797604166666666,0.23333333333333334,-0.4755307291666666
1541862760,0.046213541666666615,22,0.1376614583333333,-0.14285156250000056,-0.051289062499998976,0.07079687500000001,0.28446093749999984,1.4035755208333336,0.4348984375000002,0.4524609375,-0.14742187499999995,0.24444444444444444,0.24885052083333342
1541862820,0.1238697916666667,23,-0.23264322916666652,0.14248958333333395,0.4951770833333332,0.07993229166666677,0.20780208333333328,-2.2317760416666657,0.46573697916666734,0.3721015624999998,0.13885416666666678,0.25555555555555554,-0.043845572916666437
1541862880,-0.03981510416666662,24,0.3668203125000003,-0.12208593750000027,-0.015367187500000117,0.001041666666666785,-0.0038723958333334234,1.194984375,-0.49100000000000027,-0.29895052083333346,-0.0561067708333334,0.26666666666666666,0.053564843749999945
1541862940,-0.1384244791666666,25,-0.28851302083333336,0.0819817708333337,0.8065729166666675,-0.14533593750000023,-0.10174739583333323,-0.03255989583333416,-0.5697968750000002,-0.1436510416666667,0.05115885416666668,0.2777777777777778,-0.04803151041666666
1541863000,0.0447734375,26,-0.02872916666666671,0.06189843750000009,-0.8298697916666664,0.052291666666666584,-0.02858593749999997,0.04806250000000016,0.6834791666666671,0.41580729166666663,0.038825520833333314,0.28888888888888886,0.04579531250000008
1541863060,-0.0642682291666667,27,0.006304687500000154,0.27532552083333317,-0.02501041666666685,0.043966145833333296,0.08642968749999995,1.765575520833333,-0.6097473958333332,0.34042708333333316,-0.2717213541666669,0.3,0.15472812499999988
1541863120,-0.016236979166666717,28,0.5727187500000002,-0.3892447916666665,-0.39243489583333324,0.10547916666666662,-0.042111979166666674,-1.8281354166666672,-0.031249999999999882,-0.5825442708333333,0.18782291666666623,0.3111111111111111,-0.24159375000000005
1541863180,0.044223958333333306,29,-0.4594921875000009,-0.9337161458333334,0.5053411458333327,-0.2101536458333334,-0.005335937499999873,-0.5725234375000002,-1.7637864583333327,0.18475260416666686,0.14786458333333344,0.32222222222222224,-0.30628255208333344
