unix,s1_final_BVP,minute,s2_final_BVP,s3_final_BVP,s4_final_BVP,s5_final_BVP,s6_final_BVP,s7_final_BVP,s8_final_BVP,s9_final_BVP,s10_final_BVP,test_progress,avg_BVP
1544029200,0.13859114583333318,1,-0.5398203125,-0.7112656249999995,-0.24522135416666738,0.09276041666666687,-0.10142447916666679,0.44065885416666656,0.07343229166666679,0.33404947916666666,0.001000000000000143,0.005555555555555556,-0.05172395833333336
1544029260,-0.14831770833333333,2,0.23504947916666646,0.4610338541666665,1.3919296875000005,-0.03705208333333302,0.09982812500000007,-1.1590963541666663,0.8793489583333328,-0.3984036458333335,-0.1371406250000005,0.011111111111111112,0.11871796874999993
1544029320,-0.029208333333333236,3,-0.11116666666666716,-2.6126875,-1.181018229166667,-0.26895052083333315,-0.2505156250000001,0.9345572916666663,-0.8550182291666667,0.015593750000000036,0.07591666666666655,0.016666666666666666,-0.4282497395833335
1544029380,-0.09035416666666675,4,0.20689583333333345,2.501744791666667,-0.04832031250000006,0.26565104166666664,0.019872395833333348,0.045513020833333306,0.03373958333333323,0.23558593749999998,0.09154166666666676,0.022222222222222223,0.32618697916666667
1544029440,0.07055729166666663,5,0.4843802083333331,-0.02392187499999993,0.01308593749999997,0.04691666666666665,0.15229166666666674,-0.02554166666666664,0.20912760416666656,-0.4219817708333332,-0.4035651041666668,0.027777777777777776,0.010134895833333291
1544029500,-0.009567708333333255,6,-0.34980989583333333,-1.5406119791666675,0.1550286458333336,0.21563541666666605,-0.46751302083333346,-0.4655989583333336,-0.2328619791666665,0.5336953125000001,0.362921875,0.03333333333333333,-0.17986822916666675
1544029560,-0.015507812500000044,7,0.12549479166666677,1.5469765625000014,-0.2711302083333332,-0.28828124999999993,0.5490104166666666,0.4949687500000001,0.06307552083333344,-0.4693333333333335,0.05570052083333342,0.03888888888888889,0.17909739583333348
1544029620,-0.10760416666666663,8,-0.1865546874999997,0.8402005208333331,0.09143749999999991,-0.07504687499999996,-0.19556510416666661,-0.049877604166666506,-0.08478125000000049,0.0034843749999999693,-0.09513281249999986,0.044444444444444446,0.014055989583333322
1544029680,-0.18603906249999985,9,0.051450520833333256,-0.4158906249999995,0.06159114583333357,0.4241354166666671,0.060036458333333084,-0.030421874999999963,-0.07902343749999988,0.04832031249999987,-0.0798567708333333,0.05,-0.014569791666666559
1544029740,0.4916510416666667,10,0.1717083333333333,-0.13520572916666668,0.5821484375000002,-0.6397890625000001,-0.061109375000000174,-0.1405859375,0.3078333333333333,0.1621901041666665,0.10732291666666666,0.05555555555555555,0.08461640624999996
