unix,s1_final_EDA,minute,s2_final_EDA,s3_final_EDA,s4_final_EDA,s5_final_EDA,s6_final_EDA,s7_final_EDA,s8_final_EDA,s9_final_EDA,s10_final_EDA,test_progress,avg_EDA
1544032020,0.182664425,48,0.109735225,0.15976492083333332,0.23274711666666667,0.37585595,0.172596175,0.060633124999999996,0.9499913916666667,0.4226149833333333,0.16286869583333333,0.26666666666666666,0.2829472008333333
1544032080,0.1976506625,49,0.10625965416666668,0.12822092916666666,0.2591713,0.3194835833333334,0.169916525,0.10610925416666667,1.0040487916666667,0.21239994583333335,0.1455824875,0.2722222222222222,0.26488431333333334
1544032140,0.18729324583333332,50,0.10231417916666666,0.11693382916666667,0.25021363333333335,0.3752581791666667,0.17938064583333332,0.019042241666666668,0.9808431958333333,0.26206427083333333,0.13952327916666665,0.2777777777777778,0.26128667
1544032200,0.1794556875,51,0.10252240416666666,0.12286040416666667,0.24655706666666666,0.37696077083333335,0.1763273,0.029865533333333336,0.938959975,0.273193125,0.14248075,0.2833333333333333,0.2589183016666667
1544032260,0.1802245083333333,52,0.10387848333333333,0.11007822083333334,0.23986287916666665,0.3502638458333333,0.17987175416666668,0.04869966666666667,0.8706622041666667,0.4839845,0.15393726666666666,0.28888888888888886,0.2721463329166666
1544032320,0.18347063333333333,53,0.10716725416666667,0.09663422083333333,0.23533068333333332,0.36168022083333334,0.19553852083333334,0.0061640666666666665,1.0903514916666666,0.5307753291666667,0.1453529125,0.29444444444444445,0.2952465333333333
1544032380,0.18427145416666668,54,0.10848062500000001,0.09975762916666667,0.24556948750000002,0.3986621625,0.1775817625,0.014319108333333332,1.2562632708333334,0.4053436875,0.15581114999999998,0.3,0.30460603374999995
1544032440,0.18418599583333334,55,0.10765844583333334,0.12008931666666668,0.2892469833333333,0.40336959166666664,0.16211787916666667,0.024138937500000002,1.9958632833333332,0.5181224125,0.16226545416666666,0.3055555555555556,0.39670583
1544032500,0.18579302083333332,56,0.10921203333333333,0.12487321666666666,0.2926954625,0.5163436416666667,0.18659755833333333,0.017051491666666665,2.88572525,0.5504811625,0.162019875,0.3111111111111111,0.5030792712500001
1544032560,0.18316627916666667,57,0.11040260833333333,0.121408125,0.29361367083333334,0.5829614541666667,0.19357948333333336,0.012024229166666667,2.7090727375,0.45936693333333334,0.16656828333333334,0.31666666666666665,0.4832163804166667
1544032620,0.18597989166666667,58,0.11057876666666666,0.12319142083333333,0.28774692916666667,0.6106061,0.18819884166666664,0.012547216666666666,2.9111938375,0.5667114083333333,0.16534575833333334,0.32222222222222224,0.5162100170833333
1544032680,0.17992553333333333,59,0.1068255625,0.11253430833333332,0.3078720916666667,0.6481262833333333,0.18915446666666666,0.020531258333333333,2.608322225,0.5908111374999999,0.16621594583333332,0.3277777777777778,0.49303188125000014
1544032740,0.184255425,60,0.106980375,0.14325607083333333,0.3115874625,0.6023218124999999,0.19580005,0.0158507625,2.2660562916666667,0.5789587875,0.16467847083333334,0.3333333333333333,0.4569745508333334
1544032800,0.18283525,61,0.10729540416666666,0.13754851666666665,0.30929205,0.6309935708333333,0.23124917916666668,0.008453841666666666,1.8707113458333333,0.5899836083333334,0.16561800416666667,0.3388888888888889,0.4233980770833333
1544032860,0.18402049583333333,62,0.1039425375,0.1555095375,0.32246144583333336,0.6997857083333333,0.2247636,0.0225271875,1.4422375541666668,0.5800693166666666,0.1635840875,0.34444444444444444,0.3898901470833333
1544032920,0.18719175416666667,63,0.10457791666666667,0.12790590416666667,0.3090198,0.7414004208333334,0.19877859166666667,0.03790840833333333,1.183267525,0.5791670124999999,0.17245671666666668,0.35,0.36416740500000006
1544032980,0.18397241250000002,64,0.10477009583333333,0.13454782499999998,0.29994482083333335,0.6644262333333334,0.18486269166666666,0.03688360416666667,1.1133875666666666,0.5454679708333334,0.17658875833333332,0.35555555555555557,0.34448519791666665
1544033040,0.18467181666666665,65,0.10066979999999999,0.13046337916666667,0.31605562083333333,0.68108925,0.18454773333333332,0.012184304166666667,1.0766769833333332,0.45830543749999997,0.17778455,0.3611111111111111,0.33224488750000003
1544033100,0.17794484166666666,66,0.10889168333333334,0.10705100833333334,0.32787446666666664,0.6493949458333332,0.19366484166666667,0.013513191666666667,1.0095421875,0.6126684875,0.18136669583333334,0.36666666666666664,0.338191235
1544033160,0.1842340666666667,67,0.10674010416666667,0.12453682916666667,0.33597790833333335,0.5592711041666667,0.18930386666666665,0.025921570833333334,0.7352788958333334,0.6231701,0.1901861,0.37222222222222223,0.3074620545833333
1544033220,0.18763485416666667,68,0.10384645,0.10629279166666666,0.33273755416666667,0.5458370916666666,0.17849459166666665,0.03786045833333333,0.6912544916666666,0.6156423083333333,0.1915526875,0.37777777777777777,0.2991153279166667
1544033280,0.18851045,69,0.10753027083333334,0.09862035416666666,0.35790734166666666,0.5680455,0.19379834583333333,0.051362720833333333,0.7620031625,0.6078101458333334,0.18810932916666667,0.38333333333333336,0.31236976208333334
