unix,s1_mt1_EDA,minute,s2_mt1_EDA,s3_mt1_EDA,s4_mt1_EDA,s5_mt1_EDA,s6_mt1_EDA,s7_mt1_EDA,s8_mt1_EDA,s9_mt1_EDA,s10_mt1_EDA,test_progress,avg_EDA
1539438500,0.0317148125,1,0.013070562499999999,0.489070925,2.0657968625,1.23606025,5.3375e-06,0.0,0.00048067916666666666,0.40707140416666665,0.05303650833333333,0.011111111111111112,0.4296307341666667
1539438560,0.10036632083333334,2,0.013150633333333333,0.5591777666666666,2.4789051625,0.6068403375,0.0,0.0,0.0005180916666666667,0.2839814666666667,0.1013134,0.022222222222222223,0.41442531791666665
1539438620,0.48711175833333337,3,0.013033158333333333,0.7967317458333334,2.300393225,0.4016940708333333,0.0,0.0,0.000699675,0.2216035875,0.06735580833333334,0.03333333333333333,0.42886230291666677
1539438680,0.7631052291666667,4,0.012963729166666667,0.887342875,1.5836186875,0.2719187375,5.3375e-06,0.013863679166666667,0.0007424208333333334,0.203829525,0.322819175,0.044444444444444446,0.40602093958333335
1539438740,0.6216057541666667,5,0.012152154166666667,0.7304956625,1.5822350583333333,0.20995092083333333,0.025115116666666666,0.2112991625,0.5971504958333332,0.20184864583333334,0.20649711250000002,0.05555555555555555,0.4398350083333333
1539438800,0.4374033041666667,6,0.012082704166666668,0.5855455541666666,1.940614125,0.1776511875,0.32252515,0.23933544166666668,0.901753675,0.19551078333333333,0.22466529166666668,0.06666666666666667,0.5037087216666667
1539438860,0.54676085,7,0.011981275000000001,0.633881825,2.4608861875000003,0.164610675,0.8472558,0.2788313666666667,0.4873503583333333,0.20605571666666667,0.22683812916666665,0.07777777777777778,0.5864452183333333
1539438920,0.6197317125,8,0.011815779166666667,0.7838673625,2.3662532625000003,0.14112378750000001,0.818371475,0.5273860291666667,0.46839510833333337,0.2156663375,0.2391068375,0.08888888888888889,0.6191717691666667
1539438980,0.5983500541666668,9,0.011863829166666668,1.0690844499999999,2.0449803958333335,0.12248917499999999,0.9322932541666666,0.43376233750000004,0.4253559875,0.20074327083333332,0.21911809166666665,0.1,0.6058040845833335
1539439040,0.25572635,10,0.011959925000000001,1.1456738791666665,1.7030951250000002,0.13480371666666666,1.3594770458333334,0.3745584291666667,0.3434907833333333,0.19462975833333335,0.20408935416666668,0.1111111111111111,0.5727504366666667
1539439100,0.3052528083333333,11,0.8175858791666666,1.3010971791666668,1.451917425,0.1224837875,1.4433322166666664,0.4416537958333333,0.26528880833333335,0.2013146583333333,0.3796957166666666,0.12222222222222222,0.6729622275
1539439160,0.8409472208333334,12,1.2986564999999999,1.30651295,1.3559008208333334,0.25396199583333334,1.622717975,0.4371325916666667,0.2411634,0.2041924625,0.4120438708333333,0.13333333333333333,0.7973229787499998
1539439220,0.7187236124999999,13,1.1703415625,1.1363374208333332,1.2699892041666667,0.4251168791666667,1.6979899083333334,0.4845992916666667,0.1940980625,0.20632814166666666,0.34725135833333337,0.14444444444444443,0.7650775441666668
1539439280,0.7331043083333333,14,1.1397939416666667,1.1284291458333333,1.1680761041666665,0.44744005,1.469992625,0.5687441666666667,0.25381349166666667,0.20252662083333334,0.3596375125,0.15555555555555556,0.7471557966666665
1539439340,0.7247217416666667,15,1.2125512375,1.2432358000000001,0.9994844458333334,0.4382214583333333,1.0797595125000001,0.5444139416666667,0.24326729166666666,0.1903584875,0.5311524,0.16666666666666666,0.7207166316666667
1539439400,0.7063496083333334,16,0.9342868125,1.2298755,0.8820041333333334,0.34550725416666667,1.1077983916666667,0.49372689166666667,0.3294817208333333,0.16240783749999999,0.5168825916666667,0.17777777777777778,0.6708320741666667
1539439460,0.6541268291666668,17,0.8301225833333333,0.9874396,0.8556209916666667,0.2986403375,1.4451521999999999,0.5576482041666666,0.5150546791666667,0.16113180000000002,0.44473389583333334,0.18888888888888888,0.6749671120833333
1539439520,0.5276144791666667,18,0.9210171875000001,1.0378517166666665,0.9076826333333333,0.35190732916666667,1.5043232375,0.6641429541666667,0.5059181708333333,0.17041135000000002,0.4048097291666667,0.2,0.69956787875
1539439580,0.5248327541666666,19,0.5959182208333333,1.1383048416666668,0.8325958333333333,0.3669175708333333,1.7069264291666668,0.8251554083333333,0.4674619625,0.17930644166666668,0.3757984125,0.2111111111111111,0.7013217875
1539439640,0.7798394416666666,20,0.31568022083333336,0.8304071875,0.7667287041666667,0.2918398541666667,1.3560519500000001,0.7005103166666667,0.39901452916666663,0.19049730833333334,0.3481910541666667,0.2222222222222222,0.5978760566666667
1539439700,1.5073345208333333,21,0.1993818125,0.8106149458333333,0.6048102,0.252990525,1.4457983583333334,0.621199575,0.331588325,0.19386105,0.3207651916666666,0.23333333333333334,0.6288344504166666
1539439760,1.733316825,22,0.21438490833333335,0.5849851791666667,0.5018677416666667,0.26968754166666664,1.1692996624999998,0.48098881666666665,0.196482275,0.19551080416666666,0.297215325,0.24444444444444444,0.5643739079166666
1539439820,1.7856040583333335,23,0.33923149583333334,0.5051118,0.4486897666666667,0.24886967916666666,1.0689910041666666,0.44860367916666666,0.4039295708333333,0.19998519166666667,0.3027090333333333,0.25555555555555554,0.5751725279166665
