unix,s1_mt2_EDA,minute,s2_mt2_EDA,s3_mt2_EDA,s4_mt2_EDA,s5_mt2_EDA,s6_mt2_EDA,s7_mt2_EDA,s8_mt2_EDA,s9_mt2_EDA,s10_mt2_EDA,test_progress,avg_EDA
1541861500,0.025285004166666666,1,0.07776015833333333,1.3062420833333335,1.9087625708333333,0.3010167,0.0,0.0001708,0.0025148958333333334,0.17455492916666668,0.018765283333333334,0.011111111111111112,0.3815072425
1541861560,0.03976405,2,0.06045050833333333,1.4530682708333333,1.6824837791666667,0.2729160541666667,0.0024020625,0.0001708,0.029148770833333334,0.17924749999999998,1.4288649999999998,0.022222222222222223,0.5148516795833332
1541861620,0.04267909166666666,3,0.07021047500000001,1.3597013666666666,1.6825665708333333,0.238725475,0.18397878333333334,0.10296131666666668,0.031519116666666666,0.18190610833333334,0.05294790833333333,0.03333333333333333,0.39471962125000004
1541861680,0.063655575,4,0.0931103375,1.3833435375,1.6400187666666668,0.21549761666666667,0.4046498041666667,0.19489045833333335,0.0417656875,0.18708450833333332,0.14419445416666665,0.044444444444444446,0.4368210745833333
1541861740,0.07288119166666666,5,0.06134205833333333,1.3360400916666668,1.567604875,0.26507024583333333,0.28753639583333335,0.5173523833333333,0.0236326,0.1943609125,0.15483411666666666,0.05555555555555555,0.4480654870833334
1541861800,0.07915954166666667,6,0.06706030416666667,1.2613367333333334,1.2564758041666666,0.288169875,0.3612061166666667,0.47524510000000003,0.025549466666666666,0.19865315833333333,0.16011400416666666,0.06666666666666667,0.41729701041666656
1541861860,0.0862281375,7,0.07679904583333334,1.3102840833333333,0.9879354874999999,0.3294377291666667,0.3042024208333333,0.2550481958333333,0.0531709,0.20181889583333332,0.17174676666666666,0.07777777777777778,0.37766716625
1541861920,0.09126796666666667,8,0.07492504166666666,1.3678654541666666,1.1425699666666667,0.45200820833333333,0.25038028333333334,0.3345402083333333,0.10661952083333334,0.20381556666666667,0.19997175,0.08888888888888889,0.4223963966666666
1541861980,0.09362243333333334,9,0.08054723750000001,1.4256978375,1.7123870166666668,0.48360481250000004,0.23696073333333334,0.31969722083333335,0.15764939166666667,0.20923408333333335,0.21084099583333332,0.1,0.49302417624999995
1541862040,0.1001198875,10,0.08509087083333333,1.3986535416666668,1.3385172916666666,0.49763117083333336,0.21568375416666666,0.36769528333333334,0.10257225416666667,0.2143644625,0.20835317916666665,0.1111111111111111,0.45286816958333337
